Data;BFX85;DB44;DB44S;DC35A;DC36A;DC36G;DC44;DF44;DF44S;DFN41;DFN43;DFN44;DFX41;DFX43;DFX44;DM84X;DM85X;DM86V;DM86X;DW44S;EB100;EB10C;EB10K;FE19;FE23;FE27;FEI19;FEI19T;FEI23;FEI23T;FEI27;FEI27T;H330;H440;H550;HI330;HI330T;HI440;HI440T;HI550;HI550T;IB44S;IB45;IB45S;IB51;IB51S;IB54;IB54B;IB54S;IB55;IB55S;IB6;IB6B;IB6S;IB7;IB7B;IB7BT;IB7S;IB7ST;IB7T;IF41;IF41B;IF41S;IF43;IF43B;IF43S;IF44;IF44S;IF44S ;IF45;IF45S;IF46;IF46S;IF55;IF55B;IF55S;IF56B;IM7;IM7B;IM7S;IM8;IM8B;IM8IS;IM8S;IQ8IB;IQ8IS;IQ8S;IQ8WS;IT55;IT55S;IT56;IT56S;IT70;IT70B;IT70S;IW43S;IW45S;IW46S;RE120;RE31;RE32;RE32G;RE80;RFE39;TC41;TC41S;TC42;TC42S;TC44;TC44S;TC45;TC45S;TC56;TC56S;TF38;TF38S;TF39;TF39S;TF40;TF40S;TF41;TF41B;TF41S;TF42;TF42S;TF43;TF44;TF44B;TF44S;TF55;TF55S;TF56;TF56S;TF70;TF70S;TF71;TF71B;TF71S;TW42S;Miniload;Unitload
09/05/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;640;918
08/05/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1060;0;0;0;0;0;0;0;0;0;0;0;3;691;345;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;67;1181;0;0;0;0;349;0;0;0;0;88;460;0;0;0;0;0;0;0;0;0;0;829;0;0;0;0;850;0;0;0;0;0;0;928;0;0;0;0;0;0;0;0;1445;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;984;0;42;0;0;6359;9201
07/05/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;938;0;0;0;0;0;0;0;0;0;0;0;198;941;1;0;0;0;1;0;0;6;0;0;0;0;0;0;0;0;0;0;0;1391;0;0;0;0;242;0;96;0;0;72;425;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;921;0;0;0;0;0;0;955;0;0;0;0;0;0;0;2;1312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1062;270;0;899;1;0;5987;8982
06/05/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;1064;0;0;0;0;0;0;0;0;0;0;0;704;0;2;0;17;0;0;0;0;119;0;1;0;0;0;3;0;0;0;0;7;940;0;0;0;0;1;1;328;0;0;73;442;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;819;0;0;0;0;0;0;932;0;0;0;0;0;0;0;11;1399;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1307;0;0;878;7;0;5861;9480
05/05/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;2;0;1140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;126;0;0;1186;0;0;0;0;0;16;0;0;0;0;0;1099;0;0;0;0;1;0;299;0;0;69;457;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;865;0;0;0;0;0;0;976;0;0;0;0;0;0;0;1383;93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1362;0;0;20;758;0;6105;9738
04/05/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1033;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;103;0;1158;0;0;1085;0;3;0;0;0;95;0;0;0;0;0;0;0;0;0;0;0;2;342;0;0;51;437;0;0;0;0;0;0;0;0;0;0;107;0;0;0;0;887;0;0;0;0;0;0;820;0;0;0;0;0;0;0;1356;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1138;0;1;0;905;0;5336;7821
01/05/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;215;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;246;0;0;93;0;117;0;0;0;226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;169;0;0;0;0;148;0;0;0;0;0;0;0;0;0;0;0;0;0;0;228;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;163;0;583;8667
30/04/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6390;8955
29/04/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6017;9528
28/04/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5894;8745
27/04/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5232;9573
26/04/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;323;8358
25/04/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5670;105
24/04/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5149;2010
23/04/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5641;8343
