Data;DB44;DB44S;DC35A;DC36A;DC36G;DFN41;DFN43;DFN44;DFX41;DFX43;DFX44;EB100;EB100C;EB10C;EB10K;FE19;FE23;FE27;FEI19;FEI19T;FEI23;FEI23T;FEI27;FEI27T;GrandTotal;H330;H440;H550;HI330;HI330T;HI440;HI440T;HI550;HI550T;IB44S;IB45;IB45S;IB51;IB51S;IB54;IB54B;IB54S;IB55;IB55S;IB6;IB6B;IB6S;IB7;IB7B;IB7BT;IB7S;IB7ST;IB7T;IF41;IF41 ;IF41B;IF41S;IF41S ;IF43;IF43B;IF43S;IF44;IF44 ;IF44S ;IF45;IF45S;IF46;IF46S;IF55;IF55B;IF55S;IF56B;IM7;IM7B;IM7S;IM8;IM8B;IM8IS;IM8S;IQ8IB;IQ8IS;IQ8S;IQ8WS;IT55;IT55S;IT56;IT56S;IT70;IT70B;IT70S;IW43S;IW45S;IW46S;RE120;RE31;RE32;RE32G;RE80;RFE39;RowLabels;TC41;TC41S;TC42;TC42S;TC44;TC44S;TC45;TC45S;TC56;TC56S;TF38;TF38S;TF39;TF39S;TF40;TF40S;TF41;TF41B;TF41S;TF44;TF44B;TF44S;TF55;TF55S;TF56;TF56S;TF70;TF70S;TF71;TF71B;TF71S;Miniload;Unitload
15/04/2026;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;296;538;2;4;0;0;0;0;52;0;954;0;0;0;0;0;0;6;3;0;0;0;0;0;0;0;0;0;1244;0;87;0;0;0;0;0;0;0;0;0;0;1;0;1421;0;0;1121;2;0;0;0;0;445;0;0;0;446;0;1;0;0;0;0;0;0;0;0;1158;0;0;0;0;0;0;1;0;0;0;0;0;0;0;930;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;102;5;2;67;848;6060;1394
14/04/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;672;1;74;6;0;0;0;0;1202;0;0;0;0;0;0;0;0;1;160;0;0;0;0;0;0;0;0;0;0;0;1208;0;0;0;0;0;0;0;0;0;2;0;0;1347;0;0;1173;1;0;0;0;0;453;0;0;0;478;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;846;0;0;0;5;1;0;0;48;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1295;1;0;0;893;5938;1305
13/04/2026;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;809;3;0;0;0;0;1196;0;0;0;0;0;0;0;0;5;1267;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1391;0;0;1087;1;0;0;0;0;450;0;0;0;444;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;959;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1347;0;0;0;932;5570;1198
11/04/2026;0;0;132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;747;53;0;0;0;0;1087;0;0;0;0;0;0;0;0;8;1019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;0;1094;0;0;977;172;0;0;0;0;404;0;1;0;418;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;779;152;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1140;10;3;0;883;5135;1312
10/04/2026;0;0;1472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;2;816;0;0;0;0;1154;0;0;0;0;0;0;0;0;839;512;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1185;0;0;0;0;448;0;2;0;490;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;291;673;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;1178;45;0;902;5897;1234
09/04/2026;0;0;1484;0;0;0;0;0;0;0;0;44;0;71;4;0;0;0;8;0;0;0;379;310;0;0;0;0;1117;0;0;0;0;0;0;0;0;986;0;0;0;0;0;0;0;119;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;1357;0;0;0;0;294;0;90;0;418;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;966;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1292;888;0;1;6051;1221
08/04/2026;0;0;1289;0;0;0;0;0;0;0;0;439;0;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;839;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;156;318;524;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1224;0;0;0;0;1;0;645;0;433;0;545;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;774;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;584;392;0;1;6015;1105
07/04/2026;0;0;1489;0;0;0;0;0;0;0;0;512;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;276;0;741;0;0;0;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;3;1159;0;0;0;0;0;0;730;0;0;0;1077;0;0;0;0;0;0;0;0;2;0;1;0;0;63;0;1539;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;4;974;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;647;418;0;0;7006;1192
06/04/2026;0;0;1406;0;0;0;0;0;0;0;0;501;0;0;2;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1072;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;690;0;0;0;1046;0;0;0;0;0;0;0;0;0;0;131;0;0;1140;0;1409;0;0;0;0;0;0;0;130;0;0;0;0;0;0;0;260;671;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;434;450;1;12;5083;1044
02/04/2026;0;0;1453;0;0;0;0;0;0;0;0;467;0;0;64;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;950;0;0;0;117;0;0;3;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;732;0;0;0;1067;0;0;0;0;0;0;0;0;0;0;680;0;0;0;0;1472;0;0;0;0;0;0;0;1314;0;0;0;6;4;0;0;1001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;461;0;0;5948;1282
01/04/2026;0;0;1233;0;0;0;0;0;0;0;0;0;0;0;439;0;0;0;261;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1553;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;796;0;0;0;1379;0;0;0;0;0;0;0;0;12;0;656;0;0;0;0;1580;0;0;0;0;0;0;0;1360;0;0;0;1;376;0;0;1101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;438;0;0;5861;1229
31/03/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;647;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1034;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;408;0;0;0;970;0;0;0;0;0;0;0;0;0;0;566;0;0;0;0;1046;0;0;0;0;0;0;0;871;0;0;0;45;1112;0;0;776;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;449;0;0;6048;1342
30/03/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;800;0;0;0;0;0;0;0;0;0;18;0;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1212;0;0;431;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;537;0;1;0;1251;0;0;0;0;0;0;0;0;0;0;406;0;0;0;0;1167;0;0;0;0;0;0;0;698;0;0;0;1451;0;0;0;670;302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;471;0;11;5277;1155
27/03/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;913;0;0;0;1;0;0;0;0;0;2;0;1172;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;921;0;0;1432;0;0;100;0;0;0;0;127;0;0;0;0;0;0;0;0;0;0;0;0;281;0;0;0;641;0;0;0;0;0;0;0;0;136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1393;0;0;0;0;1023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59;0;2164;5509;1307
26/03/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;827;0;0;0;11;0;0;0;0;0;40;0;1034;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;76;6;0;839;0;0;1006;0;1;496;0;0;0;0;1487;0;0;0;0;0;0;0;0;0;0;2;0;294;0;0;0;668;0;0;0;0;0;0;0;0;370;0;944;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;990;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;49;0;888;5695;1363
25/03/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;836;0;0;0;1;0;0;0;0;0;1230;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;921;0;0;1573;0;1;2;0;0;0;0;1508;0;3;0;0;0;0;0;0;0;0;0;0;255;0;10;0;596;0;0;0;0;0;0;0;0;2;1;1153;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;984;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1189;5609;1273
24/03/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;812;0;0;0;0;0;0;0;0;0;1193;0;2;0;1;0;0;0;0;0;6;0;0;0;0;0;0;0;0;2;1;0;924;0;0;1492;0;0;7;0;0;0;0;1491;0;0;0;0;0;0;0;0;0;0;0;0;268;0;596;0;32;0;0;0;0;0;0;0;0;6;0;1081;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;983;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1134;5610;1271
23/03/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;795;0;0;0;5;0;0;0;0;0;1200;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;993;0;0;698;0;0;0;0;0;0;0;1377;0;16;0;0;0;0;0;0;0;0;0;0;263;0;629;0;3;0;0;0;0;0;0;0;0;831;0;301;0;0;0;0;0;0;0;0;0;0;0;0;502;0;0;0;0;0;0;0;0;892;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1146;5291;1164
21/03/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;302;0;230;0;0;1354;0;0;2;0;0;0;0;1355;0;0;0;0;0;0;0;0;0;0;0;0;248;0;553;0;4;0;0;0;0;0;0;0;0;864;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;885;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;135;1;2;784;5207;1080
20/03/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;773;0;2;0;7;0;0;0;0;0;1203;0;4;0;3;0;0;0;0;0;114;0;0;0;0;0;0;0;0;4;956;0;0;0;0;1065;0;219;43;0;0;0;0;1400;0;1;0;0;0;0;0;0;0;0;0;0;274;0;212;0;413;0;0;0;0;0;0;0;0;992;0;2;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;11;940;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82;131;2;758;5611;1267
19/03/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;225;0;2;0;495;0;0;0;0;0;1216;0;0;0;0;0;0;0;0;0;1033;0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;0;86;1056;0;0;0;0;1337;0;2;0;0;0;0;0;0;0;0;10;0;266;0;0;0;635;0;0;0;0;0;0;0;0;1040;0;87;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;798;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;72;525;503;5515;1229
18/03/2026;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;9;0;884;0;0;0;0;0;1033;0;60;0;0;0;0;0;0;0;936;0;0;0;0;0;0;0;0;13;118;0;0;0;0;0;0;0;1245;0;0;0;6;1151;0;198;0;0;0;0;0;0;0;0;220;0;48;0;0;0;647;0;0;0;0;0;0;0;0;0;0;882;0;0;0;0;1;0;0;0;0;0;0;0;8;0;0;0;2;0;0;0;877;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;137;760;207;1;5635;1222
17/03/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;836;0;0;0;0;0;1;0;942;0;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;569;541;0;0;0;0;0;0;0;1263;0;0;0;2;2;0;1414;0;0;0;0;0;0;0;0;261;0;3;0;0;0;620;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;978;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1282;865;0;1;5808;1187
16/03/2026;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;0;0;0;0;0;10;0;864;0;0;0;0;0;6;0;0;0;988;0;0;0;0;0;0;0;0;0;0;0;0;0;0;953;1;0;0;0;0;2;0;0;984;0;0;0;138;5;0;1356;0;0;0;0;0;0;0;0;144;0;138;0;0;0;629;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;874;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1245;831;0;0;5134;1139
14/03/2026;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1059;0;0;0;0;0;116;0;0;1;0;0;0;1093;5;0;1130;0;0;114;0;0;0;0;0;0;0;246;0;0;0;616;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;841;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1169;828;0;5;5686;1273
13/03/2026;0;0;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;886;0;0;0;0;0;0;0;0;0;975;0;0;0;0;1;106;0;0;0;0;0;0;0;0;991;1;0;0;0;0;1265;0;0;106;0;0;0;0;0;0;0;0;0;1289;3;0;0;0;0;2;0;279;0;0;0;623;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;801;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;766;457;875;0;4;6319;1313
12/03/2026;0;0;938;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;105;0;740;0;0;0;0;0;0;0;0;0;929;0;0;0;0;1;1069;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1405;0;0;0;0;0;0;1;0;0;406;878;0;0;0;0;9;0;253;0;0;0;593;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1321;1;50;0;910;6363;1236
11/03/2026;0;0;962;0;0;0;0;0;0;0;0;3;0;0;6;0;0;0;0;0;817;0;23;0;0;0;0;0;0;0;0;0;816;0;0;0;0;3;1025;0;0;0;1;0;1;0;1;0;1;0;0;0;0;512;0;0;726;0;0;0;0;4;0;0;0;0;0;1244;0;0;0;0;65;0;212;0;1;0;641;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1313;4;1;0;896;6492;1251
10/03/2026;0;0;923;0;0;0;0;0;0;0;0;16;0;0;73;0;0;0;0;0;550;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;752;336;0;0;0;0;0;1;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;144;0;0;0;1341;0;0;0;0;272;0;0;0;0;0;649;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;1252;0;0;0;0;0;0;0;1;0;0;0;1275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1319;0;43;2;751;6538;1240
09/03/2026;0;0;912;0;0;0;0;0;0;0;0;293;0;0;220;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1040;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1340;0;0;2;1252;0;0;0;0;240;12;1;0;0;0;594;1;0;0;0;0;0;0;0;2;0;86;0;0;0;0;1438;0;0;0;0;0;0;0;9;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1108;0;864;0;0;5761;1110
06/03/2026;0;0;794;0;0;0;0;0;0;0;0;568;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1003;0;0;0;0;0;0;101;0;5;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1341;0;0;6;1309;0;0;0;0;52;226;1;0;0;0;654;0;0;0;0;0;0;0;0;1;0;1183;0;0;0;0;1511;0;0;0;0;0;0;0;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1163;0;2;6407;1447
05/03/2026;0;0;0;0;0;0;0;0;0;0;0;476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;339;8;810;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1396;0;0;643;729;0;0;0;0;0;270;1;0;0;0;637;32;0;0;0;0;0;0;0;0;0;1157;0;0;0;0;1471;0;0;0;0;0;0;0;946;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1155;0;1;6858;1433
