NC Type;Reason Code;Root Cause;Line;Work Center;Work Center;Equipment;Order #;Product #;Description;Data_Normalizada;Hora_Normalizada;Turno;Obs Turno;Temperatura (°C) Inst.;Temperatura (°C) Máx.;Temperatura (°C) Mín.;Umidade (%) Inst.;Umidade (%) Máx.;Umidade (%) Mín.;Pto. Orvalho (°C) Inst.;Pto. Orvalho (°C) Máx.;Pto. Orvalho (°C) Mín.;Pressão (hPa) Inst.;Pressão (hPa) Máx.;Pressão (hPa) Mín.;Pressão (hPa) Vel. (m/s);Vento Dir. (°);Vento Raj. (m/s);Radiação Kj/m²;Chuva mm
Insp;SAIDA TABLADO PISO INFERIOR L4;RISCADO;L4;Freezer Door;FD;2L4WC10_509_5630;310160576;920407755;HI330;05/jan/26;7:54 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SAIDA TABLADO PISO INFERIOR L4;RISCADO;L4;Internal Components;IC;2L4WC10_509_5630;310160576;920407755;HI330;05/jan/26;8:09 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SAÍDA ESPUMAÇÃO;FURACAO DESLOCADA;L5;Cabinet Assembly;CA;2L5WC05_504_3420;310160572;900277738;IM8S;05/jan/26;8:10 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SAÍDA TABLADO FINAL LINHA 5;AMASSADO;L5;Freezer Door;FD;2L5WC11_510_6022;310160572;900277738;IM8S;05/jan/26;8:20 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;REPROVADO PERFORMANCE (T. CARGA);VAZAMENTO DE GÁS;L5;Gas Load and Test;GLT;2L5WC10_509_5612;310160360;900277743;IM8B;05/jan/26;8:24 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SAÍDA ESPUMAÇÃO;VAZAMENTO DE PU;L5;Cabinet Assembly;CA;2L5WC05_504_3420;310160572;900277738;IM8S;05/jan/26;8:27 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;INSPEÇÃO VISUAL NÃO CONFORME;VAZAMENTO DE PU;L4;External Cabinet;EC;2L4WC10_509_5620;310160576;920407755;HI330;05/jan/26;8:34 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SAÍDA RETRABALHO ANTES TAMPOGRAFIA L4;FALHA CONEXÃO TI;L4;Internal Components;IC;2L4WC10_509_5410;310160576;920407755;HI330;05/jan/26;8:35 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SÁIDA RETRABALHO INSPEÇÃO FH / FV L4;CRAVAMENTO;L4;External Cabinet;EC;2L4WC10_509_5710;310160576;920407755;HI330;05/jan/26;8:35 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;INSPEÇÃO VISUAL NÃO CONFORME;INSPEÇÃO VISUAL NÃO CONFORME;L2;End of Line;EL;1L2WC11_510_8410;310160580;924263002;IB7S;05/jan/26;8:51 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;REPROVADO PERFORMANCE (T. CARGA);REPROVADO FALHA TERMOPAR;L1;Performance Test;PT;1L1WC10_509_7400;310160485;924263164;TF70S;05/jan/26;9:04 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;INSPEÇÃO VISUAL NÃO CONFORME;AMASSADO REG 2 - REPINTURA;L5;Cabinet Assembly;CA;2L5WC11_510_6216;310160572;900277738;IM8S;05/jan/26;9:05 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;INSPEÇÃO VISUAL NÃO CONFORME;AMASSADO;L1;Refrigerator Door;RD;1L1WC11_510_8310;310160485;924263164;TF70S;05/jan/26;9:18 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;VAZAMENTO DE PU;VAZAMENTO DE PU;L2;Foaming Process;FP;1L2WC10_509_5801;310160580;924263002;IB7S;05/jan/26;9:19 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SAIDA TABLADO PISO INFERIOR L4;SAIDA TABLADO PISO INFERIOR L4;L4;Gas Load and Test;GLT;2L4WC10_509_5630;310160576;920407755;HI330;05/jan/26;9:21 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SAÍDA TABLADO ENTRADA PERFORMANCE L2;SOLTO;L2;Internal Components;IC;1L2WC07_506_4510;310160583;924263145;IF46;05/jan/26;9:32 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;RISCADO - REPINTURA;RISCADO - REPINTURA;L2;Cabinet Assembly;CA;1L2WC11_510_8525;310160580;924263002;IB7S;05/jan/26;9:49 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;RACHADO;RACHADO;L2;Refrigerator Door;RD;1L2WC11_510_8525;310160580;924263002;IB7S;05/jan/26;9:50 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SAÍDA ESPUMAÇÃO;VAZAMENTO DE PU;L5;Cabinet Assembly;CA;2L5WC05_504_3420;310160572;900277738;IM8S;05/jan/26;9:55 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SAÍDA TABLADO FINAL LINHA 2;AMASSADO;L2;Refrigerator Door;RD;1L2WC11_510_8525;310160580;924263002;IB7S;05/jan/26;9:56 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SAÍDA TABLADO FINAL LINHA 2;AMASSADO;L2;Internal Components;IC;1L2WC11_510_8525;310160583;924263145;IF46;05/jan/26;9:57 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;FALHA FUNCIONAL TESTE DELTA T LINHA 4;AMASSADO;L4;Internal Components;IC;2L4WC10_509_5344;310160462;920407755;HI330;05/jan/26;10:21 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SAÍDA RETRABALHO ANTES TAMPOGRAFIA L4;VÁLVULA FROUXA;L4;Internal Components;IC;2L4WC10_509_5410;310160576;920407755;HI330;05/jan/26;10:50 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;VAZAMENTO DE GÁS;VAZAMENTO DE GÁS;L2;Internal Components;IC;1L2WC07_506_4510;310160583;924263145;IF46;05/jan/26;10:55 AM;T1;Refeição;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SAÍDA ESPUMAÇÃO;VINCADO REPINTURA;L5;Cabinet Assembly;CA;2L5WC05_504_3420;310160572;900277738;IM8S;05/jan/26;11:00 AM;T1;Refeição;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SAIDA CARROSSEL VÁCUO;FURACAO DESLOCADA;L5;Cabinet Assembly;CA;2L5WC07_506_4220;310160572;900277738;IM8S;05/jan/26;11:09 AM;T1;Refeição;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;RISCADO;RISCADO;L2;End of Line;EL;1L2WC11_510_8525;310160583;924263145;IF46;05/jan/26;12:02 PM;T1;Refeição;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;REPROVADO PERFORMANCE (T. DELTA T);SOLTO;L2;Internal Components;IC;1L2WC10_509_6401;310160583;924263145;IF46;05/jan/26;12:10 PM;T1;Refeição;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;VAZAMENTO DE GÁS;VAZAMENTO DE GÁS;L2;Internal Components;IC;1L2WC07_506_4510;310160583;924263145;IF46;05/jan/26;12:13 PM;T1;Refeição;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SAIDA CARROSSEL VÁCUO;BOMBA DESLIGADA;L5;Gas Load and Test;GLT;2L5WC07_506_4220;310160572;900277738;IM8S;05/jan/26;12:16 PM;T1;Refeição;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SAIDA CARROSSEL VÁCUO;VINCADO;L5;External Cabinet;EC;2L5WC07_506_4220;310160572;900277738;IM8S;05/jan/26;12:30 PM;T1;Refeição;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;DESALINHADO;DESALINHADO;L2;Cabinet Assembly;CA;1L2WC11_510_8525;310160583;924263145;IF46;05/jan/26;12:30 PM;T1;Refeição;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SAIDA TABLADO PISO INFERIOR L4;QUEBRADO;L4;Freezer Door;FD;2L4WC10_509_5630;310160576;920407755;HI330;05/jan/26;12:34 PM;T1;Refeição;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Adhoc;RISCADO - REPINTURA;RISCADO - REPINTURA;L2;Foaming Process;FP;;310160583;924263145;IF46;05/jan/26;12:41 PM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SAIDA TABLADO PISO INFERIOR L4;DESLOCADO;L4;External Cabinet;EC;2L4WC10_509_5630;310160576;920407755;HI330;05/jan/26;12:43 PM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;INSPEÇÃO VISUAL NÃO CONFORME;AMASSADO;L5;Cabinet Assembly;CA;2L5WC11_510_6216;310160572;900277738;IM8S;05/jan/26;12:48 PM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SEM REGISTRO TESTE ELÉTRICO;SEM CRAVAR;L2;Internal Components;IC;;310160583;924263145;IF46;05/jan/26;12:52 PM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SAIDA TABLADO PISO INFERIOR L4;SAIDA TABLADO PISO INFERIOR L4;L4;Gas Load and Test;GLT;2L4WC10_509_5630;310160576;920407755;HI330;05/jan/26;12:54 PM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;AMASSADO - REPINTURA;AMASSADO - REPINTURA;L2;End of Line;EL;;310160477;924263003;IB7S;05/jan/26;12:54 PM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SAIDA CARROSSEL VÁCUO;FALTANDO SOLDA;L5;Gas Load and Test;GLT;2L5WC07_506_4220;310160572;900277738;IM8S;05/jan/26;12:55 PM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;REPROVADO PERFORMANCE (T. CARGA);INTERROMPIDO;L2;Internal Components;IC;;310160583;924263145;IF46;05/jan/26;1:05 PM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;REPROVADO PERFORMANCE (T. CORRENTE);UMIDADE SISTEMA;L5;Cabinet Assembly;CA;;310160572;900277738;IM8S;05/jan/26;1:14 PM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;REPROVADO PERFORMANCE (T. CORRENTE);UMIDADE SISTEMA;L5;Gas Load and Test;GLT;;310160572;900277738;IM8S;05/jan/26;1:15 PM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;REPROVADO PERFORMANCE (T. CORRENTE);UMIDADE SISTEMA;L5;Cabinet Assembly;CA;;310160572;900277738;IM8S;05/jan/26;1:15 PM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;REPROVADO PERFORMANCE (T. CORRENTE);UMIDADE SISTEMA;L5;Cabinet Assembly;CA;;310160572;900277738;IM8S;05/jan/26;1:16 PM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SAÍDA ESPUMAÇÃO;VAZAMENTO DE PU;L5;Cabinet Assembly;CA;2L5WC05_504_3420;310160572;900277738;IM8S;05/jan/26;1:22 PM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SAÍDA ESPUMAÇÃO;AMASSADO;L5;Cabinet Assembly;CA;2L5WC05_504_3420;310160572;900277738;IM8S;05/jan/26;1:30 PM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SAÍDA ESPUMAÇÃO;AMASSADO;L5;Cabinet Assembly;CA;2L5WC05_504_3420;310160572;900277738;IM8S;05/jan/26;1:30 PM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;RETESTE TEMPERATURA;RETESTE TEMPERATURA;L2;Performance Test;PT;;310160583;924263145;IF46;05/jan/26;1:33 PM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;FALHA TESTE VAZAMENTO DELTA T L4;AMBIENTE CONTAMINAÇÃO GÁS;L4;Gas Load and Test;GLT;;310160576;920407755;HI330;05/jan/26;1:35 PM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SAÍDA TABLADO FINAL LINHA 2;DESALINHADO;L2;Cabinet Assembly;CA;1L2WC11_510_8525;310160583;924263145;IF46;05/jan/26;1:37 PM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;FALHA CONEXÃO TI;FALHA CONEXÃO TI;L2;Gas Load and Test;GLT;;310160583;924263145;IF46;05/jan/26;1:40 PM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
